key,test2
UnlockR,
LockR,
UnlockL,
LockL,
WindowRUp,
WindowRDown,
WindowLUp,
WindowLDown,
,
MirrorSelect,
MirrorYup,
MirrorYDown,
MirrorXLeft,
MirrorXRight,
MirrorUnfold,
MirrorFold,
,
MirrorHeat,
,
Small_L_Light,
MirrorTLLight,
Out12L,
Out11L,
Out10L,
MirrorBlind_L_Light,
DoorFoot_L_Light,
MirrorGround_L_Light,
,
Small_R_Light,
MirrorTRLight,
Out12R,
Out11R,
Out10R,
MirrorBlind_R_Light,
DoorFoot_R_Light,
MirrorGround_R_Light,
,
OutHS_R,
Out15_R,
OutHS_L,
Out15_L,
